ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
JPM,2024-10-17,2024-10-22,217.5215,206.9979,-0.048379,0.8215,False
AAPL,2024-10-23,2024-10-28,232.5524,232.3239,-0.000983,0.8319,False
META,2024-10-24,2024-10-29,564.4083,574.022,0.017033,0.7032,False
TSLA,2024-10-26,2024-10-31,270.0,220.7,-0.05,0.7874,True
GOOGL,2024-10-30,2024-11-04,179.6426,164.1919,-0.05,0.8426,True
MSFT,2024-10-30,2024-11-04,432.3824,422.5672,-0.0227,0.6946,False
AMZN,2024-10-31,2024-11-05,190.51,184.71,-0.030445,0.8818,False
AAPL,2024-11-02,2024-11-07,219.5478,229.8998,0.047152,0.9195,False
META,2024-11-05,2024-11-10,564.5777,575.3854,0.019143,0.791,False
GOOGL,2024-11-07,2024-11-12,176.3914,173.4584,-0.016628,0.8945,False
AMZN,2024-11-07,2024-11-12,207.44,192.73,-0.05,0.9053,True
TSLA,2024-11-07,2024-11-12,288.89,257.55,-0.05,0.8812,True
JPM,2024-11-14,2024-11-19,235.1253,239.6257,0.01914,0.6643,False
TSLA,2024-11-14,2024-11-19,327.69,288.53,-0.05,0.8514,True
AMZN,2024-11-14,2024-11-19,214.16,207.09,-0.033013,0.9045,False
META,2024-11-16,2024-11-21,554.3668,586.5118,0.057985,0.6904,False
GOOGL,2024-11-23,2024-11-28,165.1364,171.4997,0.038533,0.8048,False
AAPL,2024-11-26,2024-12-01,232.0623,226.7812,-0.022757,0.6642,False
MSFT,2024-12-03,2024-12-08,425.7207,413.0037,-0.029872,0.695,False
META,2024-12-03,2024-12-08,592.1446,556.4567,-0.05,0.6808,True
AMZN,2024-12-04,2024-12-09,215.96,201.45,-0.05,0.6885,True
TSLA,2024-12-06,2024-12-11,377.42,332.89,-0.05,0.8567,True
AAPL,2024-12-10,2024-12-15,245.5486,238.2883,-0.029568,0.8046,False
MSFT,2024-12-10,2024-12-15,440.1313,426.8498,-0.030176,0.8195,False
META,2024-12-11,2024-12-16,620.3784,610.7051,-0.015593,0.8521,False
AMZN,2024-12-11,2024-12-16,226.41,213.44,-0.05,0.8051,True
GOOGL,2024-12-11,2024-12-16,184.4572,170.3563,-0.05,0.6507,True
TSLA,2024-12-13,2024-12-18,420.0,369.49,-0.05,0.8853,True
JPM,2024-12-14,2024-12-19,233.3697,239.9166,0.028054,0.7038,False
AAPL,2024-12-17,2024-12-22,248.7213,245.4094,-0.013316,0.8046,False
GOOGL,2024-12-18,2024-12-23,194.3216,184.3179,-0.05,0.8392,True
AAPL,2024-12-24,2024-12-29,254.1019,249.6761,-0.017417,0.8895,False
MSFT,2024-12-31,2025-01-05,422.0165,432.4159,0.024642,0.7884,False
META,2025-01-01,2025-01-06,587.3634,597.4529,0.017178,0.765,False
AAPL,2025-01-08,2025-01-13,240.6056,250.8298,0.042493,0.9233,False
JPM,2025-01-15,2025-01-20,244.1195,234.809,-0.038139,0.8955,False
AAPL,2025-01-15,2025-01-20,233.3652,243.6689,0.044153,0.9618,False
AAPL,2025-01-22,2025-01-27,218.5959,233.1265,0.066473,0.9457,False
AMZN,2025-01-22,2025-01-27,232.02,218.46,-0.05,0.7976,True
JPM,2025-01-22,2025-01-27,256.3059,238.0847,-0.05,0.9274,True
GOOGL,2025-01-22,2025-01-27,198.1439,190.131,-0.04044,0.7122,False
MSFT,2025-01-23,2025-01-28,437.7642,411.6865,-0.05,0.8701,True
META,2025-01-24,2025-01-29,633.8569,614.6539,-0.030295,0.845,False
AMZN,2025-01-29,2025-02-03,239.02,230.71,-0.034767,0.8157,False
GOOGL,2025-01-31,2025-02-05,201.0704,197.0689,-0.019901,0.826,False
META,2025-01-31,2025-02-05,688.2387,633.9066,-0.05,0.9198,True
TSLA,2025-02-04,2025-02-09,382.63,397.15,0.037948,0.765,False
AMZN,2025-02-05,2025-02-10,237.02,238.15,0.004767,0.8415,False
JPM,2025-02-07,2025-02-12,270.3155,261.5023,-0.032603,0.6593,False
GOOGL,2025-02-08,2025-02-13,186.4878,203.0811,0.088978,0.7027,False
TSLA,2025-02-11,2025-02-16,345.8,383.68,0.109543,0.9247,False
AAPL,2025-02-14,2025-02-19,240.2031,231.9529,-0.034347,0.8068,False
JPM,2025-02-19,2025-02-24,271.3977,264.2418,-0.026367,0.8955,False
AMZN,2025-02-19,2025-02-24,225.52,233.14,0.033789,0.8547,False
AAPL,2025-02-21,2025-02-26,244.8827,235.8421,-0.036918,0.8108,False
META,2025-02-25,2025-03-02,663.3086,733.7261,0.106161,0.8762,False
AMZN,2025-02-26,2025-03-03,214.94,226.65,0.05448,0.9593,False
GOOGL,2025-02-26,2025-03-03,174.2643,182.9243,0.049694,0.8733,False
JPM,2025-02-26,2025-03-03,250.7099,272.9283,0.088622,0.7209,False
TSLA,2025-02-26,2025-03-03,303.71,354.11,0.165948,0.8959,False
MSFT,2025-02-28,2025-03-05,389.6768,412.9685,0.059772,0.7338,False
META,2025-03-04,2025-03-09,642.9305,665.4601,0.035042,0.8377,False
AMZN,2025-03-05,2025-03-10,204.8,212.8,0.039062,0.9217,False
JPM,2025-03-05,2025-03-10,244.9481,250.9439,0.024478,0.8953,False
TSLA,2025-03-05,2025-03-10,272.92,302.8,0.109483,0.9059,False
AAPL,2025-03-11,2025-03-16,222.8388,236.9971,0.063536,0.7084,False
MSFT,2025-03-11,2025-03-16,376.1205,385.5385,0.02504,0.7411,False
GOOGL,2025-03-11,2025-03-16,164.3402,166.2414,0.011569,0.9065,False
META,2025-03-11,2025-03-16,592.6721,652.4323,0.100832,0.9556,False
TSLA,2025-03-12,2025-03-17,247.22,272.04,0.100396,0.8339,False
JPM,2025-03-12,2025-03-17,228.1308,243.9732,0.069444,0.9021,False
AAPL,2025-03-18,2025-03-23,213.2307,226.4928,0.062196,0.9642,False
META,2025-03-19,2025-03-24,582.4629,603.2896,0.035756,0.9349,False
